============================================================================================================================================================================================================================================================================================ 
Input  ECAL_01   ECAL_02   ECAL_03   ECAL_04   ECAL_05   ECAL_06   ECAL_07   ECAL_08   ECAL_09   ECAL_10   ECAL_11   ECAL_12   ECAL_13   ECAL_14   ECAL_15   ECAL_16   ECAL_17   ECAL_18   ECAL_19   ECAL_20   ECAL_21   ECAL_22   ECAL_23   ECAL_24   ECAL_25   ECAL_26   ECAL_27   ECAL_28 
============================================================================================================================================================================================================================================================================================ 
0x000   0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    0x0800    
0x001   0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    0x0001    
0x002   0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1002    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1002    0x1002    
0x003   0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x1003    0x2004    0x2004    0x2004    0x2004    0x2004    0x2004    0x2005    0x2004    0x2005    0x2005    0x2005    0x2005    0x2005    0x2004    0x2004    0x1003    0x1003    
0x004   0x2004    0x2004    0x2004    0x2004    0x2004    0x2004    0x2004    0x2004    0x2004    0x2005    0x2005    0x2005    0x2005    0x2005    0x2005    0x2006    0x2006    0x2007    0x2006    0x2007    0x2007    0x2007    0x2006    0x2006    0x2006    0x2006    0x2004    0x2004    
0x005   0x2005    0x2005    0x2005    0x2005    0x2006    0x2006    0x2006    0x2006    0x2006    0x2006    0x2006    0x2006    0x2007    0x2007    0x2007    0x2007    0x2007    0x3009    0x2007    0x3008    0x3008    0x3008    0x3008    0x3008    0x3008    0x2007    0x2005    0x2005    
0x006   0x2007    0x2007    0x2007    0x2007    0x2007    0x2007    0x2007    0x2007    0x2007    0x2007    0x2007    0x3008    0x3008    0x3008    0x3008    0x3009    0x3009    0x300a    0x3009    0x300a    0x300a    0x300a    0x300a    0x300a    0x3009    0x3009    0x2006    0x2006    
0x007   0x3008    0x3008    0x3008    0x3008    0x3008    0x3008    0x3008    0x3008    0x3008    0x3008    0x3009    0x3009    0x3009    0x300a    0x300a    0x300a    0x300a    0x300c    0x300b    0x300c    0x300c    0x300c    0x300b    0x300b    0x300b    0x300a    0x2007    0x2007    
0x008   0x3009    0x3009    0x3009    0x3009    0x3009    0x3009    0x3009    0x3009    0x3009    0x300a    0x300a    0x300a    0x300b    0x300b    0x300b    0x300c    0x300c    0x300e    0x300c    0x300e    0x300e    0x300e    0x300d    0x300d    0x300c    0x300c    0x3008    0x3008    
0x009   0x300a    0x300a    0x300a    0x300a    0x300a    0x300a    0x300a    0x300b    0x300b    0x300b    0x300b    0x300c    0x300c    0x300d    0x300d    0x300d    0x300d    0x4010    0x300e    0x300f    0x300f    0x300f    0x300f    0x300f    0x300e    0x300e    0x3009    0x3009    
